x,y
159,535
159,535
159,535
159,535
159,535
159,535
159,535
159,535
159,535
159,533
162,529
167,521
181,505
196,488
219,461
243,432
276,393
323,337
352,304
390,262
446,202
475,169
501,139
523,111
536,93
551,75
561,59
566,52
570,46
573,41
574,38
574,36
574,35
574,35
574,35
573,35
569,34
564,34
557,33
548,32
537,32
526,32
515,32
502,37
487,44
470,53
445,71
430,83
416,98
400,115
381,139
368,159
355,185
347,203
339,224
334,240
331,255
331,269
331,279
335,287
346,297
356,300
374,301
396,300
423,291
443,283
465,272
477,267
485,263
489,262
490,262
489,263
479,277
466,296
446,327
435,348
431,358
428,365
428,368
428,369
431,369
439,365
448,358
459,350
464,344
471,339
473,338
474,338
474,338
475,338
475,340
477,340
480,341
486,341
494,339
503,333
510,326
515,321
517,319
518,318
519,317
519,317
518,319
517,321
516,325
516,329
516,331
517,332
521,332
527,330
535,325
543,317
554,307
555,305
561,299
562,298
562,297
562,297
562,297
562,297
558,300
551,307
539,320
530,332
512,357
484,413
472,445
462,475
452,507
449,519
447,530
447,535
447,537
451,538
461,538
479,536
513,520
541,502
573,478
602,451
625,425
636,404
647,381
651,359
652,347
652,336
649,326
643,322
636,319
628,317
617,316
606,316
596,317
585,322
574,329
566,334
558,339
553,343
552,345
552,346
552,346
552,346
562,345
581,337
624,313
711,254
780,204
820,174
864,138
883,118
896,102
904,91
907,87
907,85
907,85
905,85
895,90
880,105
864,124
844,150
820,185
796,227
771,273
750,319
733,362
726,388
720,416
720,436
723,458
731,470
740,480
752,488
770,492
787,492
805,479
825,457
843,427
854,404
864,380
868,362
869,350
866,340
857,331
832,323
818,323
800,323
785,327
773,331
765,335
758,338
753,340
751,341
750,342
750,342
750,342
750,342
753,342
764,336
794,320
875,271
981,206
1066,147
